insert_time1 insert_time2 erase_time1 erase_time2 find_time1 find_time1 Max_depth1 Max_depth2 
0.0003955 0.0005484 0.0006674 0.0006674 0.0001523 0.0001444 26 30 
0.0005492 0.0005529 0.0006493 0.0006493 0.0001377 0.0002241 29 29 
0.0003995 0.0004188 0.000464 0.000464 0.0001313 0.0001222 28 27 
0.0004019 0.0003522 0.0004489 0.0004489 0.0001865 0.000178 30 24 
0.0005275 0.000577 0.0005157 0.0005157 0.000123 0.0001297 26 29 
0.000338 0.0003848 0.0004634 0.0004634 0.0001795 0.0001836 32 31 
0.0003987 0.0004124 0.0004416 0.0004416 0.000128 0.0001303 27 28 
0.0003993 0.0005868 0.0005672 0.0005672 0.0001299 0.0001317 30 26 
0.0003907 0.0005243 0.0007197 0.0007197 0.0001355 0.0001677 29 29 
0.0004183 0.0003416 0.0004453 0.0004453 0.0001821 0.0001781 34 27 
0.0003541 0.0004028 0.0004577 0.0004577 0.0001355 0.0001222 27 27 
0.0003593 0.0004217 0.0004591 0.0004591 0.0001277 0.0001266 30 29 
0.0004317 0.0005396 0.0007103 0.0007103 0.0001319 0.0001349 28 27 
0.0004207 0.0004293 0.000449 0.000449 0.0001508 0.0001264 30 29 
0.0003824 0.0004012 0.0004414 0.0004414 0.0001464 0.0001281 26 29 
0.0006077 0.0005545 0.0008144 0.0008144 0.000171 0.0001927 31 28 
0.0005204 0.0005054 0.0006879 0.0006879 0.000182 0.0001577 27 27 
0.0004936 0.0004881 0.0009069 0.0009069 0.0001452 0.0001974 27 30 
0.0005411 0.0004953 0.0006476 0.0006476 0.000153 0.0001385 30 27 
0.000394 0.0003765 0.0004365 0.0004365 0.0001449 0.0002 28 30 
0.0005372 0.0004958 0.0006453 0.0006453 0.0001562 0.0001229 31 27 
0.0004018 0.0005612 0.0004781 0.0004781 0.0001392 0.0001675 29 26 
0.0004999 0.0005517 0.0006459 0.0006459 0.0001363 0.0001282 30 31 
0.0003269 0.0003897 0.0004722 0.0004722 0.000147 0.000135 33 28 
0.0003954 0.0003993 0.0004587 0.0004587 0.0001388 0.0001226 31 26 
0.0004157 0.0003838 0.0007307 0.0007307 0.0001507 0.0001332 31 28 
0.0003929 0.0003335 0.0004526 0.0004526 0.0001389 0.0001236 30 30 
0.0005713 0.0005129 0.0006374 0.0006374 0.0001344 0.0001378 30 27 
0.0004879 0.0005813 0.0006307 0.0006307 0.0001364 0.0001268 28 30 
0.0005113 0.0005411 0.0006206 0.0006206 0.0001416 0.0001428 26 27 
0.0003859 0.000382 0.0004521 0.0004521 0.0001601 0.0001325 30 32 
0.0005906 0.0004304 0.0004497 0.0004497 0.0001228 0.000114 32 27 
0.000483 0.000363 0.0004552 0.0004552 0.0001391 0.0001436 28 30 
0.0003941 0.0003483 0.0004462 0.0004462 0.0001414 0.0001212 28 29 
0.0005439 0.000541 0.0004741 0.0004741 0.0001293 0.0001227 27 26 
0.0003532 0.0004112 0.0004564 0.0004564 0.0001447 0.0001326 29 29 
0.0003913 0.000545 0.0007159 0.0007159 0.0001462 0.0001305 25 31 
0.0003983 0.000419 0.0004709 0.0004709 0.0001493 0.0001355 31 28 
0.0004123 0.0003358 0.0004575 0.0004575 0.0001379 0.0001301 31 33 
0.0005767 0.0005094 0.0006669 0.0006669 0.0001449 0.0001326 30 31 
0.000392 0.0005508 0.0004868 0.0004868 0.0001376 0.0001325 30 30 
0.0003376 0.0003996 0.0005263 0.0005263 0.0001442 0.0001312 28 29 
0.0004178 0.0004026 0.0004396 0.0004396 0.0001229 0.0001362 32 27 
0.0003998 0.000406 0.0004463 0.0004463 0.0001438 0.0001293 28 29 
0.0005306 0.0005315 0.0004787 0.0004787 0.0001389 0.000123 27 28 
0.0005809 0.0003629 0.0004839 0.0004839 0.0001555 0.0001295 27 28 
0.0003781 0.0003842 0.0004813 0.0004813 0.0001413 0.0001268 26 32 
0.000411 0.0003911 0.0004758 0.0004758 0.0001469 0.0001239 32 30 
8192 elements ------ ------ ----- ------ ------- ------- 
0.0004212 0.0003924 0.0006849 0.0006849 0.0001419 0.0001529 32 33 
0.0005524 0.0003577 0.0005613 0.0005613 0.0001451 0.0001291 31 31 
0.0004394 0.0003936 0.0005372 0.0005372 0.0001281 0.0001295 32 28 
0.000418 0.000402 0.0005147 0.0005147 0.0001663 0.0001678 37 28 
0.0005875 0.0004194 0.0008199 0.0008199 0.0001535 0.0001624 34 29 
0.0005503 0.0004359 0.0006792 0.0006792 0.000189 0.0001907 32 31 
0.0005543 0.0004227 0.0008009 0.0008009 0.0001398 0.0001346 30 34 
0.0004039 0.0003271 0.000532 0.000532 0.0001398 0.0001321 32 36 
0.0003997 0.0003893 0.0005355 0.0005355 0.0001317 0.000123 31 30 
0.0003924 0.0003824 0.0005219 0.0005219 0.0001316 0.0001227 34 29 
0.0003396 0.0003864 0.0004858 0.0004858 0.0001332 0.0001135 29 33 
0.0003964 0.000387 0.0005044 0.0005044 0.0001438 0.0001454 29 31 
0.0004079 0.0004119 0.0006048 0.0006048 0.0001358 0.0001327 33 32 
0.0003688 0.0004037 0.0005304 0.0005304 0.0001951 0.0001554 30 35 
0.0006144 0.0004572 0.0005797 0.0005797 0.00013 0.0001319 32 34 
0.0004266 0.0004008 0.0005358 0.0005358 0.0001319 0.0001427 34 34 
0.0003441 0.0003908 0.0005204 0.0005204 0.0001264 0.0001171 30 32 
0.0004066 0.000371 0.0005375 0.0005375 0.0001813 0.0001656 34 31 
0.00054 0.0003691 0.0005439 0.0005439 0.0001492 0.0001239 30 30 
0.0003487 0.0004026 0.0005531 0.0005531 0.000127 0.0001258 32 32 
0.0004112 0.0003901 0.0005513 0.0005513 0.000125 0.0001269 31 32 
0.0003788 0.0003699 0.0004693 0.0004693 0.0001362 0.000123 29 33 
0.0003475 0.0003823 0.0004884 0.0004884 0.0001805 0.0001476 33 29 
0.0003844 0.0004235 0.0005063 0.0005063 0.000151 0.0001416 29 32 
0.0003804 0.000409 0.0005859 0.0005859 0.000135 0.0001299 31 32 
0.0005133 0.0003601 0.0004995 0.0004995 0.0001328 0.0001174 30 31 
0.0004285 0.0003462 0.0004839 0.0004839 0.0001279 0.0001209 29 31 
0.0003992 0.0003405 0.0004699 0.0004699 0.000128 0.0001236 33 35 
0.0004259 0.00035 0.0004844 0.0004844 0.0001252 0.0001346 34 34 
0.0003973 0.0003781 0.0004655 0.0004655 0.0001304 0.0001249 30 30 
0.0004228 0.0003734 0.0005396 0.0005396 0.0001369 0.00013 32 29 
0.0005717 0.0005546 0.0007071 0.0007071 0.0001785 0.0001787 29 32 
0.0004212 0.0005693 0.0007156 0.0007156 0.000148 0.0001421 33 36 
0.0004024 0.0003598 0.0004634 0.0004634 0.0001432 0.0001308 31 30 
0.0003413 0.0005319 0.000513 0.000513 0.0001324 0.0001316 31 28 
0.0006516 0.000564 0.0005336 0.0005336 0.0001293 0.0001493 32 32 
0.0003573 0.0004118 0.0004836 0.0004836 0.0001359 0.000148 30 34 
0.0003983 0.0003342 0.0004668 0.0004668 0.0001251 0.0001284 30 33 
0.0004255 0.0003397 0.0004879 0.0004879 0.0001663 0.0001431 30 32 
0.0003985 0.000328 0.0004722 0.0004722 0.0001335 0.0001622 32 33 
0.0004296 0.0003613 0.0008052 0.0008052 0.0001349 0.0001276 30 32 
0.0005175 0.0005227 0.0005237 0.0005237 0.000157 0.0001384 32 32 
0.0006231 0.0004028 0.0005224 0.0005224 0.0001331 0.000128 32 31 
0.0003972 0.0004053 0.0005103 0.0005103 0.0001316 0.0001205 36 34 
0.0004021 0.0003859 0.0004855 0.0004855 0.0001272 0.0001252 35 32 
0.0004139 0.0004093 0.0004707 0.0004707 0.0001217 0.0001257 34 32 
0.0003431 0.0004171 0.0004633 0.0004633 0.000132 0.00013 34 30 
0.0003744 0.0004505 0.000499 0.000499 0.0001323 0.0001275 31 29 
0.0003428 0.0003821 0.0004753 0.0004753 0.0001469 0.000144 30 35 
0.0003867 0.0003173 0.0004686 0.0004686 0.000199 0.0003676 30 34 
16384 elements ------ ------ ----- ------ ------- ------- 
0.0003754 0.000404 0.0006117 0.0006117 0.0001458 0.0001586 35 34 
0.0004035 0.0003776 0.000682 0.000682 0.0001417 0.0001291 37 35 
0.0004433 0.0003553 0.0008329 0.0008329 0.0001758 0.0001539 33 32 
0.0003786 0.0004058 0.000621 0.000621 0.0001324 0.0001559 36 35 
0.0003899 0.0004146 0.0010186 0.0010186 0.000218 0.0001638 35 36 
0.0004189 0.0005392 0.0007074 0.0007074 0.0001574 0.0001343 34 34 
0.0004147 0.0003478 0.0006328 0.0006328 0.0001452 0.0001375 30 39 
0.0003572 0.0004094 0.0006206 0.0006206 0.0001516 0.0001805 36 33 
0.0004133 0.0004117 0.0006115 0.0006115 0.0001453 0.0001359 35 37 
0.000421 0.0004595 0.0006331 0.0006331 0.0001613 0.0001329 31 35 
0.0004337 0.0003466 0.0006239 0.0006239 0.000154 0.0001293 35 33 
0.0003705 0.0004098 0.0006199 0.0006199 0.0001372 0.0001341 32 33 
0.0004068 0.000445 0.0006206 0.0006206 0.0001355 0.0001434 34 33 
0.0004618 0.0004073 0.0006261 0.0006261 0.0001422 0.0001295 32 34 
0.0004278 0.0003419 0.000599 0.000599 0.0001311 0.0001355 35 34 
0.0005138 0.000425 0.0006544 0.0006544 0.0001377 0.0001416 34 34 
0.000447 0.0008632 0.000632 0.000632 0.0001276 0.0001207 34 33 
0.0008753 0.0004039 0.000616 0.000616 0.0001469 0.0001274 33 33 
0.0004364 0.0003533 0.0006373 0.0006373 0.0001805 0.000147 34 33 
0.0006923 0.0004167 0.0006779 0.0006779 0.000148 0.0001419 31 32 
0.0004251 0.000382 0.000609 0.000609 0.0001304 0.0001217 34 35 
0.0004205 0.0004458 0.0007433 0.0007433 0.0001423 0.0001298 34 34 
0.0006505 0.0003894 0.0006404 0.0006404 0.0001325 0.0001238 33 37 
0.000339 0.0004101 0.0006628 0.0006628 0.0001529 0.0001248 36 32 
0.0008301 0.0008149 0.0006286 0.0006286 0.0001383 0.0001882 32 37 
0.0004277 0.0003821 0.0009469 0.0009469 0.0001472 0.000127 36 37 
0.000422 0.000341 0.0007225 0.0007225 0.0001489 0.0001297 35 34 
0.0003734 0.0003994 0.0006736 0.0006736 0.0001307 0.0001359 33 36 
